variant,groep,type,gini,kakwani,ratio,n_obs,posities_met_obs,posities_n_onder_10
B,zs_typ,ZV50,0.29763142234037165,-0.06741873499067663,0.1704910015058566,368.0,29.0,17.0
B,zs_typ,ZV00,0.29763142234037165,-0.29763142234037165,0.1439391895211222,368.0,29.0,17.0
C,wn_alleen,WN,0.20320584625136281,0.21755409937255235,0.17572218358149305,708.0,28.0,14.0
C,wn_koppel,WN,0.2809598868781425,0.24719869019655466,0.15999867735907533,2012.0,34.0,7.0
C,wn_koppel2,WN,0.2715223302981696,0.2413538626784179,0.1636414948892598,978.0,34.0,17.0
C,wn_typ,WN,0.26339607217891386,0.24138317467353282,0.16419218406723157,2720.0,34.0,6.0
C,zs_alleen,ZE,0.2327053988508412,0.07512708596592713,0.2765807163312992,93.0,19.0,18.0
C,zs_alleen,ZV100VAA,0.2327053988508412,0.041344096927324187,0.3027958486282952,93.0,19.0,18.0
C,zs_alleen,ZV100,0.2327053988508412,0.04210382700323792,0.30239502873728147,93.0,19.0,18.0
C,zs_alleen,ZV75,0.2327053988508412,0.0395529828949622,0.22015958683399756,93.0,19.0,18.0
C,zs_alleen,ZV50,0.2327053988508412,-0.07845184840516292,0.1708600635769223,93.0,19.0,18.0
C,zs_alleen,ZV00,0.2327053988508412,-0.2327053988508412,0.15146699198890345,93.0,19.0,18.0
C,zs_koppel,ZE,0.3046461742761609,0.03824362559437505,0.2629762299978145,275.0,25.0,20.0
C,zs_koppel,ZV100VAA,0.3046461742761609,-0.00024407049149233195,0.2924242001808257,275.0,25.0,20.0
C,zs_koppel,ZV100,0.3046461742761609,0.0009020308787683895,0.29174945999349894,275.0,25.0,20.0
C,zs_koppel,ZV75,0.3046461742761609,0.009190471247595644,0.2190629510321675,275.0,25.0,20.0
C,zs_koppel,ZV50,0.3046461742761609,-0.09199438379373395,0.18025552131853728,275.0,25.0,20.0
C,zs_koppel,ZV00,0.3046461742761609,-0.3046461742761609,0.15990230353732413,275.0,25.0,20.0
C,zs_koppel2,ZE,0.2906824824556964,0.038817407904194856,0.2697739556436852,140.0,19.0,16.0
C,zs_koppel2,ZV100VAA,0.2906824824556964,0.0029513298781217445,0.2968722228904788,140.0,19.0,16.0
C,zs_koppel2,ZV100,0.2906824824556964,0.0038563141374728938,0.29643030203880355,140.0,19.0,16.0
C,zs_koppel2,ZV75,0.2906824824556964,0.011442018704062473,0.21943017043615168,140.0,19.0,16.0
C,zs_koppel2,ZV50,0.2906824824556964,-0.08706508073505118,0.17396113937439586,140.0,19.0,16.0
C,zs_koppel2,ZV00,0.2906824824556964,-0.2906824824556964,0.15305918091857842,140.0,19.0,16.0
C,zs_typ,ZE,0.28838396388252985,0.04715196583277881,0.26646629737149496,368.0,25.0,17.0
C,zs_typ,ZV100VAA,0.28838396388252985,0.009712013300295419,0.2950849218700162,368.0,25.0,17.0
C,zs_typ,ZV100,0.28838396388252985,0.010773328028109264,0.2944804526407922,368.0,25.0,17.0
C,zs_typ,ZV75,0.28838396388252985,0.016319018659439355,0.21934427975998258,368.0,25.0,17.0
C,zs_typ,ZV50,0.28838396388252985,-0.08911618320582704,0.17784522961615262,368.0,25.0,17.0
C,zs_typ,ZV00,0.28838396388252985,-0.28838396388252985,0.15773832579495886,368.0,25.0,17.0
