jaar,stelsel,definitie,deflator,reeks,waarde
2021,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,9.47400725959
2022,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.16231391998
2023,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.7536926064
2003,zelfstandigen,Z2,cpi,index_bijdragen_pc,100
2004,zelfstandigen,Z2,cpi,index_bijdragen_pc,101.904484816
2005,zelfstandigen,Z2,cpi,index_bijdragen_pc,103.660711892
2006,zelfstandigen,Z2,cpi,index_bijdragen_pc,105.456781832
2007,zelfstandigen,Z2,cpi,index_bijdragen_pc,105.154450332
2008,zelfstandigen,Z2,cpi,index_bijdragen_pc,112.018682355
2009,zelfstandigen,Z2,cpi,index_bijdragen_pc,116.678068106
2010,zelfstandigen,Z2,cpi,index_bijdragen_pc,115.908498451
2011,zelfstandigen,Z2,cpi,index_bijdragen_pc,112.080649706
2012,zelfstandigen,Z2,cpi,index_bijdragen_pc,111.214119275
2013,zelfstandigen,Z2,cpi,index_bijdragen_pc,113.613934252
2014,zelfstandigen,Z2,cpi,index_bijdragen_pc,112.310326752
2015,zelfstandigen,Z2,cpi,index_bijdragen_pc,116.548467472
2016,zelfstandigen,Z2,cpi,index_bijdragen_pc,114.794737823
2017,zelfstandigen,Z2,cpi,index_bijdragen_pc,111.647428077
2018,zelfstandigen,Z2,cpi,index_bijdragen_pc,109.259929334
2019,zelfstandigen,Z2,cpi,index_bijdragen_pc,106.699594645
2020,zelfstandigen,Z2,cpi,index_bijdragen_pc,95.3693016593
2021,zelfstandigen,Z2,cpi,index_bijdragen_pc,98.3900557679
2022,zelfstandigen,Z2,cpi,index_bijdragen_pc,91.0786386324
2023,zelfstandigen,Z2,cpi,index_bijdragen_pc,96.9944061873
2003,zelfstandigen,Z2,cpi,index_uitgaven_pc,100
2004,zelfstandigen,Z2,cpi,index_uitgaven_pc,104.359054007
2005,zelfstandigen,Z2,cpi,index_uitgaven_pc,104.663265984
2006,zelfstandigen,Z2,cpi,index_uitgaven_pc,107.504788855
2007,zelfstandigen,Z2,cpi,index_uitgaven_pc,107.400956012
2008,zelfstandigen,Z2,cpi,index_uitgaven_pc,115.827432041
2009,zelfstandigen,Z2,cpi,index_uitgaven_pc,122.272563749
2010,zelfstandigen,Z2,cpi,index_uitgaven_pc,123.820296758
2011,zelfstandigen,Z2,cpi,index_uitgaven_pc,123.891091843
2012,zelfstandigen,Z2,cpi,index_uitgaven_pc,119.542927505
2013,zelfstandigen,Z2,cpi,index_uitgaven_pc,121.473637023
2014,zelfstandigen,Z2,cpi,index_uitgaven_pc,124.47639428
2015,zelfstandigen,Z2,cpi,index_uitgaven_pc,108.66346912
2016,zelfstandigen,Z2,cpi,index_uitgaven_pc,105.625260902
2017,zelfstandigen,Z2,cpi,index_uitgaven_pc,109.507076277
2018,zelfstandigen,Z2,cpi,index_uitgaven_pc,108.926636135
2019,zelfstandigen,Z2,cpi,index_uitgaven_pc,108.353283408
2020,zelfstandigen,Z2,cpi,index_uitgaven_pc,156.429898386
2021,zelfstandigen,Z2,cpi,index_uitgaven_pc,133.684243363
2022,zelfstandigen,Z2,cpi,index_uitgaven_pc,115.175419502
2023,zelfstandigen,Z2,cpi,index_uitgaven_pc,109.409513942
2003,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.644744096641
2004,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.629579442164
2005,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.638568187389
2006,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.632461476935
2007,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.631257985071
2008,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.623542997455
2009,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.615244281401
2010,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.603546608138
2011,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.583281139673
2012,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.599823413751
2013,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.603027251014
2014,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.581728130736
2015,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.691528965381
2016,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.700715235206
2017,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.657345831933
2018,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.646716881539
2019,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.634904006576
2020,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.393075715577
2021,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.474524192444
2022,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.509851970518
2023,zelfstandigen,Z2,cpi,ratio_bijdragen_uitgaven,0.571582566662
2003,werknemers,W1,cpi,populatie,3416845
2004,werknemers,W1,cpi,populatie,3446922
2005,werknemers,W1,cpi,populatie,3488326
2006,werknemers,W1,cpi,populatie,3552305
2007,werknemers,W1,cpi,populatie,3632158
2008,werknemers,W1,cpi,populatie,3664695
2009,werknemers,W1,cpi,populatie,3650975
2010,werknemers,W1,cpi,populatie,3702275
2011,werknemers,W1,cpi,populatie,3724412
2012,werknemers,W1,cpi,populatie,3717226
2013,werknemers,W1,cpi,populatie,3704916
2014,werknemers,W1,cpi,populatie,3726937
2015,werknemers,W1,cpi,populatie,3752674
2016,werknemers,W1,cpi,populatie,3801359
2017,werknemers,W1,cpi,populatie,3858071
2018,werknemers,W1,cpi,populatie,3914029
2019,werknemers,W1,cpi,populatie,3966918
2020,werknemers,W1,cpi,populatie,3946692
2021,werknemers,W1,cpi,populatie,4019084
2022,werknemers,W1,cpi,populatie,4069839
2023,werknemers,W1,cpi,populatie,3992877
2003,werknemers,W1,cpi,index_populatie,100
2004,werknemers,W1,cpi,index_populatie,100.880256494
2005,werknemers,W1,cpi,index_populatie,102.092017636
2006,werknemers,W1,cpi,index_populatie,103.964476001
