type,positie,bruto_60pct,minimum,maximum,bruto,personenbelasting,netto,inhouding,inhouding_pct,bindend
ZV75,2500,1423.6799999999998,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV75,2750,1640.8499999999999,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV75,3000,1858.02,1773.3499999999999,3798.8759999999997,1858.02,131.3450302,1726.6749890000001,-1.9200000224373071e-05,-1.0333581029468505e-06,-
ZV75,3250,2051.0639999999999,1773.3499999999999,3798.8759999999997,2051.0639999999999,189.36317740000001,1788.888017,72.81280559999982,3.5500016381741295,-
ZV75,3500,2268.2339999999999,1773.3499999999999,3798.8759999999997,2268.2339999999999,290.43932330000001,1897.27226,80.522416699999894,3.5500048363616759,-
ZV75,3750,2485.404,1773.3499999999999,3798.8759999999997,2485.404,395.34706690000002,2001.8251419999999,88.231791100000237,3.5499979520432183,-
ZV75,4000,2702.5740000000001,1773.3499999999999,3798.8759999999997,2702.5740000000001,507.935631,2098.6969680000002,95.941401000000042,3.5500008880422902,-
ZV75,4250,2943.8759999999997,1773.3499999999999,3798.8759999999997,2943.8759999999997,633.03511839999999,2206.3332610000002,104.50762059999943,3.5500007676953591,-
ZV75,4500,3161.0459999999998,1773.3499999999999,3798.8759999999997,3161.0459999999998,729.38101470000004,2289.2298049999999,142.43518029999996,4.5059508877757537,-
ZV75,4750,3402.3480000000004,1773.3499999999999,3798.8759999999997,3402.3480000000004,843.29086170000005,2387.2384699999998,171.81866830000081,5.0500027716153895,-
ZV75,5000,3643.6500000000001,1773.3499999999999,3798.8759999999997,3643.6500000000001,956.65216680000003,2484.7751659999999,202.22266720000016,5.550002530429655,-
ZV75,5250,3866.7539999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,5500,4096.2839999999997,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,5750,4325.8199999999997,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
