variant,groep,pos,w
C,wn_koppel2,5250,17749.979790616351
C,wn_koppel2,5500,5025.4811763784382
C,wn_koppel2,5750,4608.6682519641918
C,wn_koppel2,6000,1686.1290213219961
C,wn_koppel2,6250,6080.5971325661321
C,wn_koppel2,6500,7251.417050299463
C,wn_koppel2,6750,2378.7292320378988
C,wn_koppel2,7000,4837.5942794053208
C,wn_koppel2,7500,1752.187847132654
C,wn_koppel2,8000,2701.4153474971722
C,wn_koppel2,8500,2821.0587184291462
C,wn_koppel2,9000,4541.0698936973831
C,wn_koppel2,9500,668.12288272745639
C,wn_koppel2,10000,4249.5508920169332
C,wn_koppel2,11000,817.79684229524435
C,wn_koppel2,12000,4208.9982207377971
C,wn_koppel2,13000,560.13996000300972
C,wn_koppel2,14000,593.57861753163752
C,wn_koppel2,15000,1689.8036054090121
C,wn_typ,1550,481568.70351264981
C,wn_typ,1800,72451.262906020245
C,wn_typ,2000,121245.81298541529
C,wn_typ,2250,132795.3148837481
C,wn_typ,2500,205899.70482733811
C,wn_typ,2750,224858.26946067429
C,wn_typ,3000,170553.28748728181
C,wn_typ,3250,145903.1814395292
C,wn_typ,3500,131788.31340339329
C,wn_typ,3750,109763.03468314061
C,wn_typ,4000,63813.436198371353
C,wn_typ,4250,59333.123628364468
C,wn_typ,4500,75972.403889975249
C,wn_typ,4750,54011.184824039541
C,wn_typ,5000,38419.417419743499
C,wn_typ,5250,38242.018696680898
C,wn_typ,5500,28484.26799547908
C,wn_typ,5750,14729.158093054761
C,wn_typ,6000,9271.5730665656447
C,wn_typ,6250,17793.471192218971
C,wn_typ,6500,13237.53116154654
C,wn_typ,6750,7696.2565703949476
C,wn_typ,7000,9599.9075883594487
C,wn_typ,7500,14681.5872014338
C,wn_typ,8000,10086.001386489441
C,wn_typ,8500,12435.79389309886
C,wn_typ,9000,8934.6848929735352
C,wn_typ,9500,5688.9016098991506
C,wn_typ,10000,7628.1775110390026
C,wn_typ,11000,3814.1228108848632
C,wn_typ,12000,4208.9982207377971
C,wn_typ,13000,1504.330855239577
C,wn_typ,14000,1557.230506195011
C,wn_typ,15000,3405.9919049156611
C,zs_alleen,1550,27028.5171095572
C,zs_alleen,1800,6544.7030524369839
C,zs_alleen,2000,3778.0453236517878
C,zs_alleen,2250,5866.0631485547083
C,zs_alleen,2500,2205.2041756823819
C,zs_alleen,2750,4115.4269160752956
C,zs_alleen,3000,5466.1994052447881
C,zs_alleen,3250,8065.2536290810422
C,zs_alleen,3500,1652.9010384516339
C,zs_alleen,3750,3902.9140754929399
C,zs_alleen,4000,3232.3861063478521
C,zs_alleen,4250,1093.060679228272
C,zs_alleen,4750,383.28707935776299
C,zs_alleen,5000,1447.050523962291
C,zs_alleen,5250,837.02106678838197
C,zs_alleen,5500,386.03005569365428
