variant,groep,type,gini_python,kakwani_python,ratio_python,n_obs,posities_met_obs,posities_n_onder_10,gini_stata,kakwani_stata,ratio_stata,_merge,verschil_gini,verschil_kakwani,verschil_ratio
C,zs_koppel2,ZE,0.2906824824556964,0.038817407904194856,0.2697739556436852,140.0,19.0,16.0,0.2906824824556964,0.0388174079041949,0.2697739556436852,both,0.0,-4.163336342344337e-17,0.0
C,zs_koppel2,ZV00,0.2906824824556964,-0.2906824824556964,0.15305918091857842,140.0,19.0,16.0,0.2906824824556964,-0.2906824824556964,0.1530591809185784,both,0.0,0.0,2.7755575615628914e-17
C,zs_koppel2,ZV100,0.2906824824556964,0.0038563141374728938,0.29643030203880355,140.0,19.0,16.0,0.2906824824556964,0.0038563141374728,0.2964303020388036,both,0.0,9.367506770274758e-17,-5.551115123125783e-17
C,zs_koppel2,ZV100VAA,0.2906824824556964,0.0029513298781217445,0.2968722228904788,140.0,19.0,16.0,0.2906824824556964,0.0029513298781218,0.2968722228904788,both,0.0,-5.551115123125783e-17,0.0
C,zs_koppel2,ZV50,0.2906824824556964,-0.08706508073505118,0.17396113937439586,140.0,19.0,16.0,0.2906824824556964,-0.0870650807350512,0.1739611393743959,both,0.0,2.7755575615628914e-17,-2.7755575615628914e-17
C,zs_koppel2,ZV75,0.2906824824556964,0.011442018704062473,0.21943017043615168,140.0,19.0,16.0,0.2906824824556964,0.0114420187040624,0.2194301704361517,both,0.0,7.28583859910259e-17,-2.7755575615628914e-17
C,zs_typ,ZE,0.28838396388252985,0.04715196583277881,0.26646629737149496,368.0,25.0,17.0,0.2883839638825299,0.0471519658327789,0.266466297371495,both,-5.551115123125783e-17,-9.020562075079397e-17,-5.551115123125783e-17
C,zs_typ,ZV00,0.28838396388252985,-0.28838396388252985,0.15773832579495886,368.0,25.0,17.0,0.2883839638825299,-0.2883839638825299,0.1577383257949589,both,-5.551115123125783e-17,5.551115123125783e-17,-2.7755575615628914e-17
C,zs_typ,ZV100,0.28838396388252985,0.010773328028109264,0.2944804526407922,368.0,25.0,17.0,0.2883839638825299,0.0107733280281093,0.2944804526407922,both,-5.551115123125783e-17,-3.642919299551295e-17,0.0
C,zs_typ,ZV100VAA,0.28838396388252985,0.009712013300295419,0.2950849218700162,368.0,25.0,17.0,0.2883839638825299,0.0097120133002955,0.2950849218700162,both,-5.551115123125783e-17,-8.153200337090993e-17,0.0
C,zs_typ,ZV50,0.28838396388252985,-0.08911618320582704,0.17784522961615262,368.0,25.0,17.0,0.2883839638825299,-0.0891161832058271,0.1778452296161526,both,-5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17
C,zs_typ,ZV75,0.28838396388252985,0.016319018659439355,0.21934427975998258,368.0,25.0,17.0,0.2883839638825299,0.0163190186594393,0.2193442797599826,both,-5.551115123125783e-17,5.551115123125783e-17,-2.7755575615628914e-17
